Container ID;Size Type;Berat (Ton);Urutan Pelabuhan;Rute Pelabuhan;Tipe Cargo
MSKU0073;20FT;3;3;Yos Sudarso;DRY
MSKU0074;40FT;3;1;Tanjung Perak;DRY
MSKU0075;40FT;5;3;Yos Sudarso;DRY
MSKU0076;20FT;5;1;Tanjung Perak;DRY
MSKU0077;20FT;5;3;Yos Sudarso;DRY
MSKU0078;20FT;35;1;Tanjung Perak;DRY
MSKU0079;40FT;5;3;Yos Sudarso;DRY
MSKU0080;20FT;35;1;Tanjung Perak;DRY
MSKU0081;40FT;35;3;Yos Sudarso;DRY
MSKU0082;40FT;35;3;Yos Sudarso;DRY
MSKU0083;20FT;3;2;Soekarno-Hatta;DRY
MSKU0084;20FT;5;1;Tanjung Perak;DRY
MSKU0085;20FT;35;1;Tanjung Perak;DRY
MSKU0086;20FT;35;2;Soekarno-Hatta;DRY
MSKU0087;20FT;33;1;Tanjung Perak;DRY
MSKU0088;20FT;33;2;Soekarno-Hatta;DRY
MSKU0089;40FT;3;3;Yos Sudarso;DRY
MSKU0090;40FT;3;1;Tanjung Perak;DRY
MSKU0091;20FT;3;1;Tanjung Perak;DRY
MSKU0092;20FT;35;2;Soekarno-Hatta;DRY
MSKU0093;40FT;35;2;Soekarno-Hatta;DRY
MSKU0094;20FT;33;3;Yos Sudarso;DRY
MSKU0095;40FT;35;3;Yos Sudarso;DRY
MSKU0096;20FT;5;2;Soekarno-Hatta;DRY
MSKU0097;20FT;35;3;Yos Sudarso;DRY
MSKU0098;40FT;33;3;Yos Sudarso;DRY
MSKU0099;40FT;35;3;Yos Sudarso;DRY
MSKU0100;20FT;33;2;Soekarno-Hatta;DRY
MSKU0101;20FT;35;1;Tanjung Perak;DRY
MSKU0102;20FT;3;1;Tanjung Perak;DRY
MSKU0103;40FT;35;1;Tanjung Perak;DRY
MSKU0104;40FT;35;3;Yos Sudarso;DRY
MSKU0105;20FT;33;2;Soekarno-Hatta;DRY
MSKU0106;40FT;35;1;Tanjung Perak;DRY
MSKU0107;40FT;35;1;Tanjung Perak;DRY
MSKU0108;20FT;5;2;Soekarno-Hatta;DRY
MSKU0109;20FT;33;3;Yos Sudarso;DRY
MSKU0110;40FT;5;3;Yos Sudarso;DRY
MSKU0111;40FT;35;3;Yos Sudarso;DRY
MSKU0112;40FT;33;3;Yos Sudarso;DRY
MSKU0113;40FT;35;3;Yos Sudarso;DRY
MSKU0114;40FT;3;2;Soekarno-Hatta;DRY
MSKU0115;40FT;35;1;Tanjung Perak;DRY
MSKU0116;40FT;3;2;Soekarno-Hatta;DRY
MSKU0117;20FT;5;3;Yos Sudarso;DRY
MSKU0118;20FT;35;1;Tanjung Perak;DRY
MSKU0119;40FT;33;2;Soekarno-Hatta;DRY
MSKU0120;40FT;33;3;Yos Sudarso;DRY
MSKU0121;40FT;35;3;Yos Sudarso;DRY
MSKU0122;40FT;3;1;Tanjung Perak;DRY
MSKU0123;40FT;35;3;Yos Sudarso;DRY
MSKU0124;20FT;3;2;Soekarno-Hatta;DRY
MSKU0125;40FT;3;2;Soekarno-Hatta;DRY
MSKU0126;40FT;3;2;Soekarno-Hatta;DRY
MSKU0127;40FT;35;2;Soekarno-Hatta;DRY
MSKU0128;20FT;35;3;Yos Sudarso;DRY
MSKU0129;20FT;3;3;Yos Sudarso;DRY
MSKU0130;20FT;5;3;Yos Sudarso;DRY
MSKU0131;20FT;33;2;Soekarno-Hatta;DRY
MSKU0132;20FT;33;3;Yos Sudarso;DRY
MSKU0133;40FT;33;2;Soekarno-Hatta;DRY
MSKU0134;40FT;35;2;Soekarno-Hatta;DRY
MSKU0135;20FT;33;3;Yos Sudarso;DRY
MSKU0136;20FT;35;2;Soekarno-Hatta;DRY
MSKU0137;40FT;3;2;Soekarno-Hatta;DRY
MSKU0138;40FT;3;3;Yos Sudarso;DRY
MSKU0139;40FT;33;1;Tanjung Perak;DRY
MSKU0140;20FT;33;2;Soekarno-Hatta;DRY
MSKU0141;20FT;3;2;Soekarno-Hatta;DRY
MSKU0142;20FT;3;1;Tanjung Perak;DRY
MSKU0143;20FT;33;2;Soekarno-Hatta;DRY
MSKU0144;40FT;3;2;Soekarno-Hatta;DRY
MSKU0145;20FT;33;2;Soekarno-Hatta;DRY
MSKU0146;20FT;35;2;Soekarno-Hatta;DRY
MSKU0147;40FT;3;3;Yos Sudarso;DRY
MSKU0148;20FT;5;3;Yos Sudarso;DRY
MSKU0149;40FT;5;1;Tanjung Perak;DRY
MSKU0150;40FT;35;2;Soekarno-Hatta;DRY
