Container ID;Size Type;Berat (Ton);Urutan Pelabuhan;Rute Pelabuhan;Tipe Cargo
MSKU0066;40FT;24;3;Yos Sudarso;DRY
MSKU0067;40FT;19;2;Soekarno-Hatta;DRY
MSKU0068;40FT;25;3;Yos Sudarso;DRY
MSKU0069;20FT;24;3;Yos Sudarso;REEFER
MSKU0070;20FT;28;3;Yos Sudarso;DRY
MSKU0071;20FT;18;2;Soekarno-Hatta;DRY
MSKU0072;40FT;18;2;Soekarno-Hatta;DRY
MSKU0073;20FT;13;1;Tanjung Perak;REEFER
MSKU0074;20FT;18;2;Soekarno-Hatta;DRY
MSKU0075;40FT;20;2;Soekarno-Hatta;DRY
MSKU0076;40FT;19;2;Soekarno-Hatta;DRY
MSKU0077;20FT;20;2;Soekarno-Hatta;DRY
MSKU0078;20FT;25;3;Yos Sudarso;DG
MSKU0079;20FT;13;1;Tanjung Perak;DRY
MSKU0080;20FT;18;2;Soekarno-Hatta;DRY
MSKU0081;20FT;20;2;Soekarno-Hatta;DRY
MSKU0082;40FT;24;3;Yos Sudarso;DRY
MSKU0083;20FT;15;1;Tanjung Perak;DRY
MSKU0084;40FT;19;2;Soekarno-Hatta;DRY
MSKU0085;40FT;27;3;Yos Sudarso;DRY
MSKU0086;20FT;26;3;Yos Sudarso;REEFER
MSKU0087;20FT;16;1;Tanjung Perak;DRY
MSKU0088;40FT;20;2;Soekarno-Hatta;DRY
MSKU0089;40FT;14;1;Tanjung Perak;DRY
MSKU0090;20FT;21;2;Soekarno-Hatta;DRY
MSKU0091;40FT;20;2;Soekarno-Hatta;DRY
MSKU0092;20FT;28;3;Yos Sudarso;DRY
MSKU0093;20FT;18;2;Soekarno-Hatta;DRY
MSKU0094;40FT;24;3;Yos Sudarso;DRY
MSKU0095;20FT;26;3;Yos Sudarso;DRY
MSKU0096;40FT;14;1;Tanjung Perak;DRY
MSKU0097;20FT;20;2;Soekarno-Hatta;DRY
MSKU0098;20FT;15;1;Tanjung Perak;DRY
MSKU0099;20FT;19;2;Soekarno-Hatta;REEFER
MSKU0100;20FT;15;1;Tanjung Perak;DRY
MSKU0101;20FT;15;1;Tanjung Perak;DRY
MSKU0102;40FT;27;3;Yos Sudarso;DRY
MSKU0103;40FT;25;3;Yos Sudarso;DRY
MSKU0104;20FT;25;3;Yos Sudarso;DRY
MSKU0105;20FT;24;3;Yos Sudarso;DRY
MSKU0106;40FT;14;1;Tanjung Perak;DRY
MSKU0107;40FT;14;1;Tanjung Perak;DRY
MSKU0108;40FT;27;3;Yos Sudarso;DRY
MSKU0109;20FT;25;3;Yos Sudarso;DRY
MSKU0110;40FT;25;3;Yos Sudarso;REEFER
MSKU0111;40FT;28;3;Yos Sudarso;REEFER
MSKU0112;20FT;26;3;Yos Sudarso;DRY
MSKU0113;40FT;28;3;Yos Sudarso;DRY
MSKU0114;20FT;22;2;Soekarno-Hatta;DG
MSKU0115;20FT;28;3;Yos Sudarso;DRY
MSKU0116;40FT;18;2;Soekarno-Hatta;DRY
MSKU0117;40FT;28;3;Yos Sudarso;DRY
MSKU0118;20FT;27;3;Yos Sudarso;DRY
MSKU0119;40FT;19;2;Soekarno-Hatta;DG
MSKU0120;40FT;28;3;Yos Sudarso;DRY
MSKU0121;40FT;18;2;Soekarno-Hatta;DRY
MSKU0122;40FT;19;2;Soekarno-Hatta;DRY
MSKU0123;40FT;25;3;Yos Sudarso;DRY
MSKU0124;20FT;21;2;Soekarno-Hatta;DRY
MSKU0125;20FT;22;2;Soekarno-Hatta;DRY
MSKU0126;40FT;26;3;Yos Sudarso;DRY
MSKU0127;40FT;24;3;Yos Sudarso;DRY
MSKU0128;20FT;27;3;Yos Sudarso;DRY
MSKU0129;20FT;27;3;Yos Sudarso;DRY
MSKU0130;40FT;16;1;Tanjung Perak;DRY
MSKU0131;40FT;24;3;Yos Sudarso;DG
MSKU0132;20FT;20;2;Soekarno-Hatta;DRY
MSKU0133;40FT;26;3;Yos Sudarso;DRY
MSKU0134;40FT;28;3;Yos Sudarso;DRY
MSKU0135;40FT;26;3;Yos Sudarso;DRY
MSKU0136;20FT;28;3;Yos Sudarso;DG
MSKU0137;40FT;16;1;Tanjung Perak;DRY
MSKU0138;40FT;22;2;Soekarno-Hatta;DRY
MSKU0139;20FT;20;2;Soekarno-Hatta;DRY
MSKU0140;40FT;27;3;Yos Sudarso;DRY
MSKU0141;20FT;28;3;Yos Sudarso;DRY
MSKU0142;20FT;18;2;Soekarno-Hatta;DG
MSKU0143;40FT;22;2;Soekarno-Hatta;DRY
MSKU0144;40FT;16;1;Tanjung Perak;DRY
MSKU0145;40FT;24;3;Yos Sudarso;DRY
MSKU0146;40FT;25;3;Yos Sudarso;DRY
MSKU0147;40FT;26;3;Yos Sudarso;DRY
MSKU0148;20FT;12;1;Tanjung Perak;DRY
MSKU0149;20FT;26;3;Yos Sudarso;DRY
MSKU0150;20FT;24;3;Yos Sudarso;DRY
MSKU0151;40FT;28;3;Yos Sudarso;REEFER
MSKU0152;40FT;28;3;Yos Sudarso;DRY
MSKU0153;20FT;28;3;Yos Sudarso;DRY
MSKU0154;40FT;27;3;Yos Sudarso;DRY
MSKU0155;40FT;27;3;Yos Sudarso;DRY
MSKU0156;40FT;24;3;Yos Sudarso;REEFER
MSKU0157;20FT;16;1;Tanjung Perak;DRY
MSKU0158;20FT;18;2;Soekarno-Hatta;DRY
MSKU0159;40FT;25;3;Yos Sudarso;DRY
MSKU0160;40FT;27;3;Yos Sudarso;DRY
MSKU0161;20FT;25;3;Yos Sudarso;DRY
MSKU0162;20FT;22;2;Soekarno-Hatta;DRY
MSKU0163;20FT;26;3;Yos Sudarso;DRY
MSKU0164;20FT;26;3;Yos Sudarso;DRY
MSKU0165;40FT;16;1;Tanjung Perak;DRY
MSKU0166;40FT;28;3;Yos Sudarso;DRY
MSKU0167;40FT;19;2;Soekarno-Hatta;DRY
MSKU0168;40FT;26;3;Yos Sudarso;DRY
MSKU0169;40FT;16;1;Tanjung Perak;DRY
MSKU0170;40FT;14;1;Tanjung Perak;DRY
MSKU0171;20FT;27;3;Yos Sudarso;DRY
MSKU0172;20FT;16;1;Tanjung Perak;DRY
MSKU0173;40FT;13;1;Tanjung Perak;DRY
MSKU0174;40FT;28;3;Yos Sudarso;DG
MSKU0175;40FT;25;3;Yos Sudarso;DRY
MSKU0176;40FT;26;3;Yos Sudarso;DRY
MSKU0177;40FT;13;1;Tanjung Perak;DRY
MSKU0178;40FT;27;3;Yos Sudarso;DRY
MSKU0179;20FT;13;1;Tanjung Perak;DRY
MSKU0180;40FT;24;3;Yos Sudarso;DRY
MSKU0181;40FT;28;3;Yos Sudarso;DRY
MSKU0182;40FT;25;3;Yos Sudarso;DRY
MSKU0183;20FT;25;3;Yos Sudarso;DRY
MSKU0184;40FT;21;2;Soekarno-Hatta;DRY
MSKU0185;40FT;25;3;Yos Sudarso;DRY
MSKU0186;40FT;18;2;Soekarno-Hatta;DRY
MSKU0187;40FT;12;1;Tanjung Perak;DRY
MSKU0188;40FT;28;3;Yos Sudarso;DG
MSKU0189;40FT;26;3;Yos Sudarso;DRY
MSKU0190;20FT;24;3;Yos Sudarso;DRY
MSKU0191;40FT;25;3;Yos Sudarso;DRY
MSKU0192;20FT;15;1;Tanjung Perak;DRY
MSKU0193;40FT;14;1;Tanjung Perak;DRY
MSKU0194;40FT;13;1;Tanjung Perak;DRY
MSKU0195;20FT;27;3;Yos Sudarso;DRY
MSKU0196;40FT;13;1;Tanjung Perak;DRY
MSKU0197;40FT;24;3;Yos Sudarso;DRY
MSKU0198;20FT;22;2;Soekarno-Hatta;DRY
MSKU0199;40FT;24;3;Yos Sudarso;DRY
MSKU0200;20FT;12;1;Tanjung Perak;DRY
