Container ID;Size Type;Berat (Ton);Urutan Pelabuhan;Rute Pelabuhan;Tipe Cargo
MSKU0042;40FT;13;1;Belawan;DRY
MSKU0043;40FT;26;3;Tanjung Perak;DRY
MSKU0044;20FT;13;1;Belawan;DRY
MSKU0045;40FT;28;3;Tanjung Perak;DRY
MSKU0046;20FT;24;3;Tanjung Perak;DRY
MSKU0047;20FT;15;1;Belawan;DRY
MSKU0048;20FT;27;3;Tanjung Perak;DRY
MSKU0049;20FT;24;3;Tanjung Perak;DRY
MSKU0050;40FT;25;3;Tanjung Perak;DRY
MSKU0051;40FT;22;2;Tanjung Priok;DRY
MSKU0052;20FT;25;3;Tanjung Perak;DRY
MSKU0053;40FT;28;3;Tanjung Perak;DRY
MSKU0054;40FT;15;1;Belawan;DRY
MSKU0055;20FT;26;3;Tanjung Perak;DG
MSKU0056;20FT;28;3;Tanjung Perak;DRY
MSKU0057;20FT;26;3;Tanjung Perak;DRY
MSKU0058;40FT;21;2;Tanjung Priok;DRY
MSKU0059;20FT;25;3;Tanjung Perak;DRY
MSKU0060;20FT;12;1;Belawan;DRY
MSKU0061;20FT;24;3;Tanjung Perak;DRY
MSKU0062;20FT;13;1;Belawan;DRY
MSKU0063;40FT;19;2;Tanjung Priok;DRY
MSKU0064;40FT;16;1;Belawan;DRY
MSKU0065;40FT;19;2;Tanjung Priok;DRY
MSKU0066;40FT;15;1;Belawan;DRY
MSKU0067;40FT;21;2;Tanjung Priok;DRY
MSKU0068;20FT;25;3;Tanjung Perak;DRY
MSKU0069;40FT;26;3;Tanjung Perak;DRY
MSKU0070;20FT;20;2;Tanjung Priok;DRY
MSKU0071;20FT;12;1;Belawan;DRY
MSKU0072;20FT;13;1;Belawan;DRY
MSKU0073;20FT;28;3;Tanjung Perak;DRY
MSKU0074;40FT;20;2;Tanjung Priok;DRY
MSKU0075;40FT;25;3;Tanjung Perak;REEFER
MSKU0076;40FT;24;3;Tanjung Perak;DRY
MSKU0077;20FT;21;2;Tanjung Priok;DRY
MSKU0078;20FT;13;1;Belawan;DRY
MSKU0079;40FT;25;3;Tanjung Perak;REEFER
MSKU0080;20FT;26;3;Tanjung Perak;DRY
MSKU0081;40FT;19;2;Tanjung Priok;REEFER
MSKU0082;40FT;22;2;Tanjung Priok;DRY
MSKU0083;40FT;25;3;Tanjung Perak;DRY
MSKU0084;40FT;19;2;Tanjung Priok;DRY
MSKU0085;40FT;20;2;Tanjung Priok;DRY
MSKU0086;20FT;14;1;Belawan;DRY
MSKU0087;20FT;13;1;Belawan;DRY
MSKU0088;20FT;20;2;Tanjung Priok;DRY
MSKU0089;20FT;24;3;Tanjung Perak;DRY
MSKU0090;40FT;28;3;Tanjung Perak;REEFER
MSKU0091;40FT;26;3;Tanjung Perak;DRY
MSKU0092;20FT;27;3;Tanjung Perak;REEFER
MSKU0093;40FT;27;3;Tanjung Perak;DRY
MSKU0094;40FT;18;2;Tanjung Priok;REEFER
MSKU0095;20FT;28;3;Tanjung Perak;DRY
MSKU0096;40FT;21;2;Tanjung Priok;DRY
MSKU0097;40FT;26;3;Tanjung Perak;DRY
MSKU0098;20FT;24;3;Tanjung Perak;DRY
MSKU0099;20FT;21;2;Tanjung Priok;REEFER
MSKU0100;40FT;26;3;Tanjung Perak;DRY
MSKU0101;20FT;22;2;Tanjung Priok;REEFER
MSKU0102;20FT;25;3;Tanjung Perak;REEFER
MSKU0103;20FT;27;3;Tanjung Perak;DRY
MSKU0104;20FT;12;1;Belawan;REEFER
MSKU0105;40FT;15;1;Belawan;DRY
MSKU0106;40FT;18;2;Tanjung Priok;DRY
MSKU0107;20FT;26;3;Tanjung Perak;DRY
MSKU0108;20FT;21;2;Tanjung Priok;DRY
MSKU0109;20FT;27;3;Tanjung Perak;DRY
MSKU0110;20FT;19;2;Tanjung Priok;DRY
MSKU0111;40FT;22;2;Tanjung Priok;DRY
MSKU0112;20FT;12;1;Belawan;DRY
MSKU0113;40FT;25;3;Tanjung Perak;DG
MSKU0114;20FT;27;3;Tanjung Perak;DRY
MSKU0115;20FT;21;2;Tanjung Priok;DRY
MSKU0116;20FT;25;3;Tanjung Perak;DRY
MSKU0117;20FT;21;2;Tanjung Priok;DRY
MSKU0118;20FT;24;3;Tanjung Perak;REEFER
MSKU0119;20FT;24;3;Tanjung Perak;DRY
MSKU0120;20FT;27;3;Tanjung Perak;DRY
MSKU0121;20FT;15;1;Belawan;DRY
MSKU0122;40FT;25;3;Tanjung Perak;DRY
MSKU0123;20FT;20;2;Tanjung Priok;DRY
MSKU0124;20FT;28;3;Tanjung Perak;DRY
MSKU0125;20FT;13;1;Belawan;DRY
MSKU0126;40FT;27;3;Tanjung Perak;DRY
MSKU0127;20FT;27;3;Tanjung Perak;DRY
MSKU0128;40FT;20;2;Tanjung Priok;DRY
MSKU0129;20FT;24;3;Tanjung Perak;DRY
MSKU0130;40FT;25;3;Tanjung Perak;DRY
MSKU0131;20FT;22;2;Tanjung Priok;DRY
MSKU0132;40FT;22;2;Tanjung Priok;DRY
MSKU0133;20FT;12;1;Belawan;DRY
MSKU0134;40FT;25;3;Tanjung Perak;DRY
MSKU0135;40FT;26;3;Tanjung Perak;DRY
MSKU0136;20FT;24;3;Tanjung Perak;DRY
MSKU0137;40FT;22;2;Tanjung Priok;DRY
MSKU0138;20FT;27;3;Tanjung Perak;DRY
MSKU0139;20FT;15;1;Belawan;DRY
MSKU0140;40FT;26;3;Tanjung Perak;REEFER
MSKU0141;20FT;24;3;Tanjung Perak;DRY
MSKU0142;40FT;28;3;Tanjung Perak;DRY
MSKU0143;20FT;19;2;Tanjung Priok;DRY
MSKU0144;40FT;25;3;Tanjung Perak;DRY
MSKU0145;40FT;21;2;Tanjung Priok;DRY
MSKU0146;20FT;25;3;Tanjung Perak;DRY
MSKU0147;20FT;27;3;Tanjung Perak;DRY
MSKU0148;20FT;21;2;Tanjung Priok;DRY
MSKU0149;20FT;15;1;Belawan;REEFER
MSKU0150;20FT;26;3;Tanjung Perak;DRY
MSKU0151;20FT;24;3;Tanjung Perak;DRY
MSKU0152;40FT;25;3;Tanjung Perak;REEFER
MSKU0153;20FT;21;2;Tanjung Priok;DRY
MSKU0154;20FT;25;3;Tanjung Perak;DRY
MSKU0155;40FT;24;3;Tanjung Perak;DRY
MSKU0156;20FT;16;1;Belawan;DG
MSKU0157;20FT;15;1;Belawan;DRY
MSKU0158;40FT;25;3;Tanjung Perak;DRY
MSKU0159;20FT;12;1;Belawan;DRY
MSKU0160;20FT;22;2;Tanjung Priok;DRY
MSKU0161;20FT;18;2;Tanjung Priok;DRY
MSKU0162;40FT;15;1;Belawan;DRY
MSKU0163;20FT;25;3;Tanjung Perak;REEFER
MSKU0164;40FT;19;2;Tanjung Priok;DRY
MSKU0165;20FT;24;3;Tanjung Perak;DRY
MSKU0166;40FT;24;3;Tanjung Perak;DG
MSKU0167;40FT;14;1;Belawan;REEFER
MSKU0168;20FT;20;2;Tanjung Priok;DRY
MSKU0169;40FT;28;3;Tanjung Perak;DRY
MSKU0170;40FT;22;2;Tanjung Priok;DRY
MSKU0171;20FT;15;1;Belawan;DG
MSKU0172;20FT;13;1;Belawan;DRY
MSKU0173;40FT;15;1;Belawan;REEFER
MSKU0174;40FT;13;1;Belawan;DRY
MSKU0175;20FT;25;3;Tanjung Perak;DRY
MSKU0176;20FT;15;1;Belawan;DRY
MSKU0177;20FT;22;2;Tanjung Priok;DRY
MSKU0178;20FT;22;2;Tanjung Priok;DG
MSKU0179;20FT;27;3;Tanjung Perak;DRY
MSKU0180;20FT;25;3;Tanjung Perak;DRY
MSKU0181;40FT;26;3;Tanjung Perak;DRY
MSKU0182;40FT;28;3;Tanjung Perak;DRY
MSKU0183;20FT;24;3;Tanjung Perak;DRY
MSKU0184;40FT;15;1;Belawan;DRY
MSKU0185;20FT;12;1;Belawan;DRY
MSKU0186;40FT;24;3;Tanjung Perak;DRY
MSKU0187;20FT;27;3;Tanjung Perak;DRY
MSKU0188;20FT;13;1;Belawan;DRY
MSKU0189;20FT;19;2;Tanjung Priok;DRY
MSKU0190;20FT;13;1;Belawan;DRY
MSKU0191;40FT;26;3;Tanjung Perak;DRY
MSKU0192;20FT;18;2;Tanjung Priok;DRY
MSKU0193;20FT;27;3;Tanjung Perak;DRY
MSKU0194;40FT;27;3;Tanjung Perak;DRY
MSKU0195;20FT;27;3;Tanjung Perak;DRY
MSKU0196;40FT;20;2;Tanjung Priok;DRY
MSKU0197;40FT;25;3;Tanjung Perak;DRY
MSKU0198;20FT;20;2;Tanjung Priok;DRY
MSKU0199;40FT;21;2;Tanjung Priok;DRY
MSKU0200;40FT;19;2;Tanjung Priok;DRY
MSKU0201;20FT;26;3;Tanjung Perak;DRY
MSKU0202;20FT;12;1;Belawan;DRY
MSKU0203;40FT;14;1;Belawan;DRY
MSKU0204;20FT;25;3;Tanjung Perak;DRY
MSKU0205;20FT;20;2;Tanjung Priok;DRY
MSKU0206;20FT;20;2;Tanjung Priok;DRY
MSKU0207;40FT;28;3;Tanjung Perak;DG
MSKU0208;20FT;27;3;Tanjung Perak;DRY
MSKU0209;40FT;12;1;Belawan;DRY
MSKU0210;20FT;16;1;Belawan;DRY
MSKU0211;40FT;18;2;Tanjung Priok;DRY
MSKU0212;20FT;26;3;Tanjung Perak;DRY
MSKU0213;40FT;15;1;Belawan;DRY
MSKU0214;20FT;22;2;Tanjung Priok;DRY
MSKU0215;40FT;19;2;Tanjung Priok;DRY
MSKU0216;40FT;24;3;Tanjung Perak;DRY
MSKU0217;40FT;13;1;Belawan;DRY
MSKU0218;20FT;27;3;Tanjung Perak;DG
MSKU0219;40FT;20;2;Tanjung Priok;DRY
MSKU0220;40FT;16;1;Belawan;DRY
MSKU0221;20FT;25;3;Tanjung Perak;DRY
MSKU0222;40FT;15;1;Belawan;DRY
MSKU0223;40FT;19;2;Tanjung Priok;DRY
MSKU0224;20FT;18;2;Tanjung Priok;DRY
MSKU0225;40FT;16;1;Belawan;DRY
MSKU0226;40FT;21;2;Tanjung Priok;DRY
MSKU0227;40FT;25;3;Tanjung Perak;DRY
MSKU0228;20FT;20;2;Tanjung Priok;DRY
MSKU0229;40FT;21;2;Tanjung Priok;DRY
MSKU0230;20FT;15;1;Belawan;DRY
MSKU0231;20FT;27;3;Tanjung Perak;DRY
MSKU0232;20FT;13;1;Belawan;DRY
MSKU0233;20FT;13;1;Belawan;DRY
MSKU0234;40FT;27;3;Tanjung Perak;DRY
MSKU0235;20FT;20;2;Tanjung Priok;DRY
MSKU0236;20FT;24;3;Tanjung Perak;DRY
MSKU0237;20FT;24;3;Tanjung Perak;DRY
MSKU0238;40FT;21;2;Tanjung Priok;DRY
MSKU0239;40FT;27;3;Tanjung Perak;DRY
MSKU0240;20FT;18;2;Tanjung Priok;DRY
MSKU0241;20FT;18;2;Tanjung Priok;DRY
MSKU0242;40FT;26;3;Tanjung Perak;DRY
MSKU0243;40FT;20;2;Tanjung Priok;DG
MSKU0244;40FT;21;2;Tanjung Priok;DRY
MSKU0245;40FT;18;2;Tanjung Priok;DRY
MSKU0246;20FT;14;1;Belawan;DRY
MSKU0247;20FT;12;1;Belawan;DRY
MSKU0248;20FT;24;3;Tanjung Perak;DRY
MSKU0249;20FT;28;3;Tanjung Perak;DG
MSKU0250;20FT;26;3;Tanjung Perak;DRY
